filter,product,irrig_bucket,n,mean_bias,median_bias,std_bias,ci_lo,ci_hi
all year,MOD16,irrig_d0-3,401,-3.349669789511031,-3.524443375,1.8360498713222062,-6.5732787515923565,0.3534191253184714
all year,MOD16,irrig_d4-7,145,-1.9407619705077972,-1.8401570552866242,1.3981552554766208,-4.627960617006369,0.3880773408598725
all year,MOD16,irrig_d8plus,153,-1.683603848818255,-1.5612770855095541,1.1389202165325218,-4.37354474421656,0.07304399866241895
all year,PML,irrig_d0-3,307,-2.1177840464179267,-1.998320573931624,1.8283213424830247,-5.66478519140812,1.607579906153846
all year,PML,irrig_d4-7,119,-0.86822346327767,-0.6917550982905982,1.2816197846064878,-3.426885166303419,1.2966343082692304
all year,PML,irrig_d8plus,132,-0.40608196011119535,-0.27058443617521366,0.9759910025540653,-2.5032934952580126,1.7738577159888314
all year,METv3,irrig_d0-3,400,-3.2287827412412495,-3.221435825,2.0001823218799926,-6.984704348125,0.8621324999999992
all year,METv3,irrig_d4-7,144,-1.5224828376631945,-1.4651815250000002,1.287189473282655,-4.0449464087499996,1.3966579912499988
all year,METv3,irrig_d8plus,153,-0.797763165666013,-0.9342966500000003,1.1082718639050722,-2.6940218849999997,1.8173203519999994
summer only,MOD16,irrig_d0-3,281,-4.11640775836028,-4.184915111464968,1.4591836828575624,-6.866230417515924,-1.370924010366242
summer only,MOD16,irrig_d4-7,75,-2.6796257191796182,-2.847185099044586,1.3938919993440497,-5.114121333328025,0.4004777070063694
summer only,MOD16,irrig_d8plus,44,-2.67503415081326,-2.7374474687181527,1.2644306713713034,-4.828215662746975,-0.0026161140764346946
summer only,PML,irrig_d0-3,222,-2.781711565995033,-2.7571072994658117,1.537248384505932,-6.069245841474359,0.05752398057852312
summer only,PML,irrig_d4-7,63,-1.2869265128646046,-1.2834645670940172,1.4310149200280071,-3.7357968140811963,1.1803571238461532
summer only,PML,irrig_d8plus,40,-0.929725485055128,-1.2665278375854703,1.4477133627493148,-3.461305908391026,2.809576709097223
summer only,METv3,irrig_d0-3,281,-4.03383777966726,-3.8921370500000005,1.6526644975773392,-7.072219230000001,-0.6100293999999997
summer only,METv3,irrig_d4-7,75,-2.0522563816,-2.113963525,1.334222476389467,-4.478847110625,0.9387395524999957
summer only,METv3,irrig_d8plus,44,-1.4121919244090908,-1.4796429412499998,1.195910798976109,-3.114428589375,1.621206760687497
growing (NDVI>0.3),MOD16,irrig_d0-3,325,-3.84994991414682,-3.972103292356688,1.5995240240313855,-6.844463386242039,0.3451646255254759
growing (NDVI>0.3),MOD16,irrig_d4-7,99,-2.4085398650093772,-2.408838702866242,1.3967539068438057,-4.913801131512739,0.4004777070063694
growing (NDVI>0.3),MOD16,irrig_d8plus,84,-2.23043708101551,-2.1274714391242036,1.1292027992287506,-4.540257118742038,-0.44564050538216576
growing (NDVI>0.3),PML,irrig_d0-3,247,-2.547922929209523,-2.372023023931624,1.6849159843214763,-5.868209620418804,1.3374036079059815
growing (NDVI>0.3),PML,irrig_d4-7,81,-1.1561803649098608,-1.1980166296367523,1.380389600654088,-3.5502801965811965,1.2955380478632477
growing (NDVI>0.3),PML,irrig_d8plus,79,-0.5886731922153574,-0.5938535470085471,1.1508642173412644,-2.8679223674166665,2.2833201172222215
growing (NDVI>0.3),METv3,irrig_d0-3,325,-3.7492168617215382,-3.50106765,1.7621842031100505,-7.061752765000001,-0.1086827500000017
growing (NDVI>0.3),METv3,irrig_d4-7,99,-1.7646724327247474,-1.729684,1.3436321264332594,-4.352800156874999,1.1395116924999986
growing (NDVI>0.3),METv3,irrig_d8plus,84,-1.0984166647279763,-1.2103188569999999,1.067183118950538,-2.781503431875,1.0626929496250002
summer × NDVI>0.3,MOD16,irrig_d0-3,281,-4.11640775836028,-4.184915111464968,1.4591836828575624,-6.866230417515924,-1.370924010366242
summer × NDVI>0.3,MOD16,irrig_d4-7,75,-2.6796257191796182,-2.847185099044586,1.3938919993440497,-5.114121333328025,0.4004777070063694
summer × NDVI>0.3,MOD16,irrig_d8plus,44,-2.67503415081326,-2.7374474687181527,1.2644306713713034,-4.828215662746975,-0.0026161140764346946
summer × NDVI>0.3,PML,irrig_d0-3,222,-2.781711565995033,-2.7571072994658117,1.537248384505932,-6.069245841474359,0.05752398057852312
summer × NDVI>0.3,PML,irrig_d4-7,63,-1.2869265128646046,-1.2834645670940172,1.4310149200280071,-3.7357968140811963,1.1803571238461532
summer × NDVI>0.3,PML,irrig_d8plus,40,-0.929725485055128,-1.2665278375854703,1.4477133627493148,-3.461305908391026,2.809576709097223
summer × NDVI>0.3,METv3,irrig_d0-3,281,-4.03383777966726,-3.8921370500000005,1.6526644975773392,-7.072219230000001,-0.6100293999999997
summer × NDVI>0.3,METv3,irrig_d4-7,75,-2.0522563816,-2.113963525,1.334222476389467,-4.478847110625,0.9387395524999957
summer × NDVI>0.3,METv3,irrig_d8plus,44,-1.4121919244090908,-1.4796429412499998,1.195910798976109,-3.114428589375,1.621206760687497
